"","run","iter","depth","condition","cfit"
"444",3,5,2,"flip",-4209.9195101712
"445",3,5,1,"construct",-3700.43019359644
"446",3,5,1,"combine",-8165.92384000329
"447",3,5,1,"decon",-4349.00532996314
"448",3,5,1,"flip",-4096.65584897049
"449",3,6,2,"construct",-3661.09386154691
"450",3,6,2,"combine",-8059.36725280315
"451",3,6,2,"decon",-4373.90218272149
"452",3,6,2,"flip",-4112.10628626035
"453",3,6,1,"construct",-3687.55523308306
"454",3,6,1,"combine",-8049.62846012024
"455",3,6,1,"decon",-4325.12948454178
"456",3,6,1,"flip",-3846.09801399799
"457",3,7,2,"construct",-3753.48055442757
"458",3,7,2,"combine",-7674.08639676344
"459",3,7,2,"decon",-4728.90288096398
"460",3,7,2,"flip",-3951.12658590385
"461",3,7,1,"construct",-3685.4191000209
"462",3,7,1,"combine",-8083.00595170432
"463",3,7,1,"decon",-4348.29545338131
"464",3,7,1,"flip",-3947.24753700266
"465",3,8,2,"construct",-3811.90956980263
"466",3,8,2,"combine",-7827.63049492816
"467",3,8,2,"decon",-4838.89825088991
"468",3,8,2,"flip",-3885.62264851509
"469",3,8,1,"construct",-3738.26118751279
"470",3,8,1,"combine",-8053.12479715008
"471",3,8,1,"decon",-4355.68409661152
"472",3,8,1,"flip",-4027.50326279617
"473",3,9,2,"construct",-3879.50220409149
"474",3,9,2,"combine",-7483.29231031452
"475",3,9,2,"decon",-4741.3088563665
"476",3,9,2,"flip",-3856.50050375479
"477",3,9,1,"construct",-3749.05096217303
"478",3,9,1,"combine",-8051.5055683203
"479",3,9,1,"decon",-4356.72487304279
"480",3,9,1,"flip",-3889.50116966169
"481",3,10,2,"construct",-3834.14319202822
"482",3,10,2,"combine",-8020.6882695095
"483",3,10,2,"decon",-4988.82193482618
"484",3,10,2,"flip",-4006.29178533432
"485",3,10,1,"construct",-3784.6965897934
"486",3,10,1,"combine",-8028.74865062948
"487",3,10,1,"decon",-4351.11552032724
"488",3,10,1,"flip",-4032.33069643478
"489",3,16,2,"construct",-3911.02634413827
"490",3,16,2,"combine",-7753.11746828685
"491",3,16,2,"decon",-4837.58594836984
"492",3,16,2,"flip",-3985.0737643463
"493",3,16,1,"construct",-3815.04591957074
"494",3,16,1,"combine",-7871.26646896167
"495",3,16,1,"decon",-4358.41058081514
"496",3,16,1,"flip",-4039.77360543752
"497",3,32,2,"construct",-3902.10217104056
"498",3,32,2,"combine",-7958.71152126996
"499",3,32,2,"decon",-4817.45128683968
"500",3,32,2,"flip",-4091.69031337506
"501",3,32,1,"construct",-3818.26357744006
"502",3,32,1,"combine",-8179.1296244931
"503",3,32,1,"decon",-4373.29406340928
"504",3,32,1,"flip",-4105.28617360008
"505",3,64,2,"construct",-3724.88487899326
"506",3,64,2,"combine",-7933.18260688613
"507",3,64,2,"decon",-4697.25652969104
"508",3,64,2,"flip",-3996.37947540386
"509",3,64,1,"construct",-3822.92308560723
"510",3,64,1,"combine",-8240.67511188899
"511",3,64,1,"decon",-4379.86572134885
"512",3,64,1,"flip",-4118.77076460284
"513",3,128,2,"construct",-3734.97663440669
"514",3,128,2,"combine",-7844.51070680599
"515",3,128,2,"decon",-4749.63690810941
"516",3,128,2,"flip",-4064.5193115613
"517",3,128,1,"construct",-3833.19662194849
"518",3,128,1,"combine",-8243.98201821714
"519",3,128,1,"decon",-4386.25952283419
"520",3,128,1,"flip",-4155.72604958302
"521",3,256,2,"construct",-3849.67528739939
"522",3,256,2,"combine",-7846.01334033681
"523",3,256,2,"decon",-4929.18608040477
"524",3,256,2,"flip",-3998.58729479122
"525",3,256,1,"construct",-3838.14460639808
"526",3,256,1,"combine",-8285.4635635431
"527",3,256,1,"decon",-4394.28639264166
"528",3,256,1,"flip",-4152.6936952985
"529",3,512,2,"construct",-3807.44801434248
"530",3,512,2,"combine",-7983.10318457868
"531",3,512,2,"decon",-4956.01808616317
"532",3,512,2,"flip",-4028.50951523801
"533",3,512,1,"construct",-3830.97521606931
"534",3,512,1,"combine",-8279.39903262181
"535",3,512,1,"decon",-4391.24731331419
"536",3,512,1,"flip",-4160.73213442023
"537",3,1024,2,"construct",-3862.9779426394
"538",3,1024,2,"combine",-7844.4599126928
"539",3,1024,2,"decon",-4935.93734615245
"540",3,1024,2,"flip",-3987.14057687599
"541",3,1024,1,"construct",-3843.43777759013
