"","run","iter","depth","condition","cfit"
"360",2,16,1,"flip",-4515.25337751124
"361",2,32,2,"construct",-3880.50504251719
"362",2,32,2,"combine",-8166.03046736271
"363",2,32,2,"decon",-4865.64526157188
"364",2,32,2,"flip",-4073.14759206804
"365",2,32,1,"construct",-3881.3975339256
"366",2,32,1,"combine",-8448.77662638691
"367",2,32,1,"decon",-4509.12088075794
"368",2,32,1,"flip",-4430.7468419725
"369",2,64,2,"construct",-3762.91223706655
"370",2,64,2,"combine",-7873.72804184461
"371",2,64,2,"decon",-5047.851196897
"372",2,64,2,"flip",-4261.92992519505
"373",2,64,1,"construct",-3873.21220735334
"374",2,64,1,"combine",-8528.96548026449
"375",2,64,1,"decon",-4514.99616524616
"376",2,64,1,"flip",-4417.11988693259
"377",2,128,2,"construct",-3823.36398175545
"378",2,128,2,"combine",-8015.52261526276
"379",2,128,2,"decon",-4764.33731707556
"380",2,128,2,"flip",-4093.31171709175
"381",2,128,1,"construct",-3951.65187245511
"382",2,128,1,"combine",-8495.28761121061
"383",2,128,1,"decon",-4530.96033417353
"384",2,128,1,"flip",-4461.10880629595
"385",2,256,2,"construct",-3821.08553366482
"386",2,256,2,"combine",-7884.00305921219
"387",2,256,2,"decon",-4728.3244983606
"388",2,256,2,"flip",-4136.61828531118
"389",2,256,1,"construct",-3954.37802305918
"390",2,256,1,"combine",-8504.19869929788
"391",2,256,1,"decon",-4534.18069717414
"392",2,256,1,"flip",-4472.87028886164
"393",2,512,2,"construct",-3835.37189832891
"394",2,512,2,"combine",-7804.08745777978
"395",2,512,2,"decon",-4958.58512925179
"396",2,512,2,"flip",-4142.79889328197
"397",2,512,1,"construct",-3956.72514252901
"398",2,512,1,"combine",-8495.83516624211
"399",2,512,1,"decon",-4533.80729383139
"400",2,512,1,"flip",-4472.75197045224
"401",2,1024,2,"construct",-3826.58643308921
"402",2,1024,2,"combine",-7782.45915461048
"403",2,1024,2,"decon",-4971.85262004478
"404",2,1024,2,"flip",-4161.23651792433
"405",2,1024,1,"construct",-3959.07812237926
"406",2,1024,1,"combine",-8507.61908807215
"407",2,1024,1,"decon",-4535.43020802281
"408",2,1024,1,"flip",-4469.45945475823
"409",3,1,2,"construct",-4423.21404637492
"410",3,1,2,"combine",-8463.94957512899
"411",3,1,2,"decon",-4658.0947855607
"412",3,1,2,"flip",-4689.53211625574
"413",3,1,1,"construct",-3829.2805580831
"414",3,1,1,"combine",-7772.38020646938
"415",3,1,1,"decon",-4463.49858219156
"416",3,1,1,"flip",-4553.75750819744
"417",3,2,2,"construct",-3705.21590327197
"418",3,2,2,"combine",-8200.88117553566
"419",3,2,2,"decon",-4425.01040298808
"420",3,2,2,"flip",-4174.56710281402
"421",3,2,1,"construct",-3756.10661244892
"422",3,2,1,"combine",-8120.15067191637
"423",3,2,1,"decon",-4463.7752493372
"424",3,2,1,"flip",-4374.40377751459
"425",3,3,2,"construct",-3827.77044308989
"426",3,3,2,"combine",-8188.44214736927
"427",3,3,2,"decon",-4601.42186707738
"428",3,3,2,"flip",-4223.73172500144
"429",3,3,1,"construct",-3781.87440184641
"430",3,3,1,"combine",-7986.85219931352
"431",3,3,1,"decon",-4463.68267975714
"432",3,3,1,"flip",-4223.17244639294
"433",3,4,2,"construct",-3828.46489176173
"434",3,4,2,"combine",-8407.11436429371
"435",3,4,2,"decon",-4776.24879511732
"436",3,4,2,"flip",-4283.4352715114
"437",3,4,1,"construct",-3807.40924011093
"438",3,4,1,"combine",-8481.42747957068
"439",3,4,1,"decon",-4484.48077933642
"440",3,4,1,"flip",-4432.73761119256
"441",3,5,2,"construct",-3696.53370037052
"442",3,5,2,"combine",-8065.91361326768
"443",3,5,2,"decon",-5147.89833094432
"444",3,5,2,"flip",-4201.25691784683
"445",3,5,1,"construct",-3808.74508709561
"446",3,5,1,"combine",-8442.1663563323
"447",3,5,1,"decon",-4487.32972787669
"448",3,5,1,"flip",-4441.60820035235
"449",3,6,2,"construct",-3710.21036257236
"450",3,6,2,"combine",-8407.74811860477
"451",3,6,2,"decon",-4425.80790925594
"452",3,6,2,"flip",-3886.20584180021
"453",3,6,1,"construct",-3694.91956208494
