,pair_index,agent,recipient,result,ground_truth,model_alt,model_heur,random_choice,IG,weight
98,5,"Stone(S0,O1,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L13)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
99,5,"Stone(S0,O1,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L14)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
100,5,"Stone(S0,O1,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L15)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
101,5,"Stone(S0,O1,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L16)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
102,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L0)",1,1,0,0.058823529411764705,0.4764131289378875,0.6417112299465241
103,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L1)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
104,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L2)",0,0,1,0.058823529411764705,1.1457578449909729,0.27807486631016043
105,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L3)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
106,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L4)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
107,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L5)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
108,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L6)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
109,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L7)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
110,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L8)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
111,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L9)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
112,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L10)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
113,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L11)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
114,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L12)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
115,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L13)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
116,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L14)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
117,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L15)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
118,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L16)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
119,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L0)",1,1,0,0.058823529411764705,0.4764131289378875,0.6417112299465241
120,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L1)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
121,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L2)",0,0,1,0.058823529411764705,1.1457578449909729,0.27807486631016043
122,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L3)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
123,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L4)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
124,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L5)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
125,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L6)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
126,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L7)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
127,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L8)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
128,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L9)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
129,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L10)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
130,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L11)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
131,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L12)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
132,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L13)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
133,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L14)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
134,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L15)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
135,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L16)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
136,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L0)",1,1,0,0.058823529411764705,0.4764131289378875,0.6417112299465241
137,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L1)",0,0,1,0.058823529411764705,1.1457578449909729,0.27807486631016043
138,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L2)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
139,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L3)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
140,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L4)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
141,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L5)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
142,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L6)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
143,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L7)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
144,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L8)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
145,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L9)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
146,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L10)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
147,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L11)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
148,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L12)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
149,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L13)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
150,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L14)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
