condition,phase,trial,prediction,n,raw_ag,fitted_ag,raw_agr,fitted_agr,raw_rr,fitted_rr,raw_sim,fitted_sim,raw_gp,fitted_gp,raw_mm,fitted_mm,raw_lm,fitted_lm,rand
construct,A,1,10,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,6.217115939775555e-23,0.03170046580889325,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,11,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,5.514380021465253e-30,0.03170046580889325,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,12,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,5.128010687889174e-38,0.03170046580889325,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,13,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,4.999719678860926e-47,0.03170046580889325,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,14,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,5.110776542823433e-57,0.03170046580889325,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,15,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,5.477377006523752e-68,0.03170046580889325,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,1,16,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,6.154643185207665e-80,0.03170046580889325,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,2,0,24,0.984,0.4004521911528931,0.992992992992993,0.4778284395411392,0.9626409536335856,0.43267427082979537,0,0.03703800888293978,2.7854890901619322e-6,0.03170175017585513,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,2,1,48,0,0.037102480216626835,0,0.03243929334373791,5.66648512998543e-7,0.034492278816124856,0,0.03703800888293978,0.0015386199725683368,0.032409911294295775,0.4424933356402201,0.11486490162970592,0,0.05093634562786692,0.058823529411764705
construct,A,2,2,21,0.016,0.04301060559770434,0.007007007007007007,0.03558216030279215,0.03704813726350498,0.0498164597524202,0,0.03703800888293978,0.0891224182542333,0.07279410712766504,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,2,3,13,0,0.037102480216626835,0,0.03243929334373791,7.239129657446463e-19,0.03449204443032853,0.6898871941674258,0.29254038661177384,0.5413376725513125,0.2813069799039673,0,0.050231372162427256,0.6699999999999999,0.14077136892646275,0.058823529411764705
construct,A,2,4,1,0,0.037102480216626835,0,0.03243929334373791,5.591719006751852e-5,0.03451517375092417,0.31011280583257417,0.1518894801441295,0.3448063325732758,0.19068793532287595,0,0.050231372162427256,0.33000000000000007,0.09518344665553352,0.058823529411764705
construct,A,2,5,0,0,0.037102480216626835,0,0.03243929334373791,0,0.03449204443032853,0,0.03703800888293978,0.023030740817726818,0.04231975802524093,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
construct,A,2,6,0,0,0.037102480216626835,0,0.03243929334373791,2.538586158156069e-4,0.03459704930099666,0,0.03703800888293978,1.6131185122427908e-4,0.03177484542610435,0,0.050231372162427256,0,0.05093634562786692,0.058823529411764705
