,terms
181,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Dotted,S3)]"
182,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Plain,S1)]"
183,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Plain,S3)]"
184,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Dotted,S1)]"
185,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Dotted,S3)]"
186,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Plain,S1)]"
187,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Plain,S3)]"
188,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Dotted,S1)]"
189,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Dotted,S3)]"
190,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Plain,S1)]"
191,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Plain,S3)]"
192,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
193,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S3)]"
194,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Plain,S1)]"
195,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Plain,S3)]"
